통계연월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202112,서울특별시,종로구,지체,심한 장애,453
202112,서울특별시,종로구,시각,심한 장애,186
202112,서울특별시,종로구,청각,심한 장애,207
202112,서울특별시,종로구,언어,심한 장애,21
202112,서울특별시,종로구,지적,심한 장애,401
202112,서울특별시,종로구,뇌병변,심한 장애,320
202112,서울특별시,종로구,자폐성,심한 장애,105
202112,서울특별시,종로구,정신,심한 장애,261
202112,서울특별시,종로구,신장,심한 장애,203
202112,서울특별시,종로구,심장,심한 장애,10
202112,서울특별시,종로구,호흡기,심한 장애,26
202112,서울특별시,종로구,간,심한 장애,2
202112,서울특별시,종로구,안면,심한 장애,3
202112,서울특별시,종로구,장루.요루,심한 장애,4
202112,서울특별시,종로구,뇌전증,심한 장애,4
202112,서울특별시,종로구,지체,심하지 않은 장애,2055
202112,서울특별시,종로구,시각,심하지 않은 장애,517
202112,서울특별시,종로구,청각,심하지 않은 장애,742
202112,서울특별시,종로구,언어,심하지 않은 장애,24
202112,서울특별시,종로구,뇌병변,심하지 않은 장애,233
202112,서울특별시,종로구,정신,심하지 않은 장애,1
202112,서울특별시,종로구,신장,심하지 않은 장애,63
202112,서울특별시,종로구,심장,심하지 않은 장애,3
202112,서울특별시,종로구,간,심하지 않은 장애,43
202112,서울특별시,종로구,안면,심하지 않은 장애,4
202112,서울특별시,종로구,장루.요루,심하지 않은 장애,26
202112,서울특별시,종로구,뇌전증,심하지 않은 장애,12
202112,서울특별시,중구,지체,심한 장애,472
202112,서울특별시,중구,시각,심한 장애,191
202112,서울특별시,중구,청각,심한 장애,179
202112,서울특별시,중구,언어,심한 장애,18
202112,서울특별시,중구,지적,심한 장애,297
202112,서울특별시,중구,뇌병변,심한 장애,300
202112,서울특별시,중구,자폐성,심한 장애,74
202112,서울특별시,중구,정신,심한 장애,207
202112,서울특별시,중구,신장,심한 장애,172
202112,서울특별시,중구,심장,심한 장애,13
202112,서울특별시,중구,호흡기,심한 장애,29
202112,서울특별시,중구,간,심한 장애,2
202112,서울특별시,중구,안면,심한 장애,5
202112,서울특별시,중구,장루.요루,심한 장애,5
202112,서울특별시,중구,뇌전증,심한 장애,4
202112,서울특별시,중구,지체,심하지 않은 장애,2026
202112,서울특별시,중구,시각,심하지 않은 장애,526
202112,서울특별시,중구,청각,심하지 않은 장애,681
202112,서울특별시,중구,언어,심하지 않은 장애,14
202112,서울특별시,중구,뇌병변,심하지 않은 장애,267
202112,서울특별시,중구,신장,심하지 않은 장애,54
202112,서울특별시,중구,심장,심하지 않은 장애,1
202112,서울특별시,중구,호흡기,심하지 않은 장애,1
202112,서울특별시,중구,간,심하지 않은 장애,39
202112,서울특별시,중구,안면,심하지 않은 장애,2
202112,서울특별시,중구,장루.요루,심하지 않은 장애,38
202112,서울특별시,중구,뇌전증,심하지 않은 장애,17
202112,서울특별시,용산구,지체,심한 장애,558
202112,서울특별시,용산구,시각,심한 장애,198
202112,서울특별시,용산구,청각,심한 장애,249
202112,서울특별시,용산구,언어,심한 장애,41
202112,서울특별시,용산구,지적,심한 장애,526
202112,서울특별시,용산구,뇌병변,심한 장애,427
202112,서울특별시,용산구,자폐성,심한 장애,127
202112,서울특별시,용산구,정신,심한 장애,279
202112,서울특별시,용산구,신장,심한 장애,273
202112,서울특별시,용산구,심장,심한 장애,15
202112,서울특별시,용산구,호흡기,심한 장애,48
202112,서울특별시,용산구,간,심한 장애,2
202112,서울특별시,용산구,안면,심한 장애,1
202112,서울특별시,용산구,장루.요루,심한 장애,5
202112,서울특별시,용산구,뇌전증,심한 장애,8
202112,서울특별시,용산구,지체,심하지 않은 장애,2695
202112,서울특별시,용산구,시각,심하지 않은 장애,735
202112,서울특별시,용산구,청각,심하지 않은 장애,898
202112,서울특별시,용산구,언어,심하지 않은 장애,24
202112,서울특별시,용산구,뇌병변,심하지 않은 장애,330
202112,서울특별시,용산구,정신,심하지 않은 장애,3
202112,서울특별시,용산구,신장,심하지 않은 장애,90
202112,서울특별시,용산구,심장,심하지 않은 장애,4
202112,서울특별시,용산구,간,심하지 않은 장애,66
202112,서울특별시,용산구,안면,심하지 않은 장애,4
202112,서울특별시,용산구,장루.요루,심하지 않은 장애,66
202112,서울특별시,용산구,뇌전증,심하지 않은 장애,14
202112,서울특별시,성동구,지체,심한 장애,830
202112,서울특별시,성동구,시각,심한 장애,194
202112,서울특별시,성동구,청각,심한 장애,336
202112,서울특별시,성동구,언어,심한 장애,48
202112,서울특별시,성동구,지적,심한 장애,696
202112,서울특별시,성동구,뇌병변,심한 장애,640
202112,서울특별시,성동구,자폐성,심한 장애,195
202112,서울특별시,성동구,정신,심한 장애,407
202112,서울특별시,성동구,신장,심한 장애,368
202112,서울특별시,성동구,심장,심한 장애,26
202112,서울특별시,성동구,호흡기,심한 장애,87
202112,서울특별시,성동구,간,심한 장애,3
202112,서울특별시,성동구,안면,심한 장애,6
202112,서울특별시,성동구,장루.요루,심한 장애,7
202112,서울특별시,성동구,뇌전증,심한 장애,10
202112,서울특별시,성동구,지체,심하지 않은 장애,4231
202112,서울특별시,성동구,시각,심하지 않은 장애,941
202112,서울특별시,성동구,청각,심하지 않은 장애,1365
202112,서울특별시,성동구,언어,심하지 않은 장애,60
202112,서울특별시,성동구,뇌병변,심하지 않은 장애,502
202112,서울특별시,성동구,신장,심하지 않은 장애,119
202112,서울특별시,성동구,심장,심하지 않은 장애,6
202112,서울특별시,성동구,호흡기,심하지 않은 장애,2
202112,서울특별시,성동구,간,심하지 않은 장애,82
202112,서울특별시,성동구,안면,심하지 않은 장애,6
202112,서울특별시,성동구,장루.요루,심하지 않은 장애,85
202112,서울특별시,성동구,뇌전증,심하지 않은 장애,32
202112,서울특별시,광진구,지체,심한 장애,929
202112,서울특별시,광진구,시각,심한 장애,228
202112,서울특별시,광진구,청각,심한 장애,348
202112,서울특별시,광진구,언어,심한 장애,48
202112,서울특별시,광진구,지적,심한 장애,806
202112,서울특별시,광진구,뇌병변,심한 장애,686
202112,서울특별시,광진구,자폐성,심한 장애,188
202112,서울특별시,광진구,정신,심한 장애,528
202112,서울특별시,광진구,신장,심한 장애,445
202112,서울특별시,광진구,심장,심한 장애,32
202112,서울특별시,광진구,호흡기,심한 장애,65
202112,서울특별시,광진구,간,심한 장애,7
202112,서울특별시,광진구,안면,심한 장애,6
202112,서울특별시,광진구,장루.요루,심한 장애,12
202112,서울특별시,광진구,뇌전증,심한 장애,10
202112,서울특별시,광진구,지체,심하지 않은 장애,4486
202112,서울특별시,광진구,시각,심하지 않은 장애,1084
202112,서울특별시,광진구,청각,심하지 않은 장애,1461
202112,서울특별시,광진구,언어,심하지 않은 장애,42
202112,서울특별시,광진구,뇌병변,심하지 않은 장애,506
202112,서울특별시,광진구,정신,심하지 않은 장애,2
202112,서울특별시,광진구,신장,심하지 않은 장애,142
202112,서울특별시,광진구,심장,심하지 않은 장애,5
202112,서울특별시,광진구,호흡기,심하지 않은 장애,1
202112,서울특별시,광진구,간,심하지 않은 장애,60
202112,서울특별시,광진구,안면,심하지 않은 장애,3
202112,서울특별시,광진구,장루.요루,심하지 않은 장애,89
202112,서울특별시,광진구,뇌전증,심하지 않은 장애,34
202112,서울특별시,동대문구,지체,심한 장애,1233
202112,서울특별시,동대문구,시각,심한 장애,273
202112,서울특별시,동대문구,청각,심한 장애,475
202112,서울특별시,동대문구,언어,심한 장애,74
202112,서울특별시,동대문구,지적,심한 장애,899
202112,서울특별시,동대문구,뇌병변,심한 장애,906
202112,서울특별시,동대문구,자폐성,심한 장애,171
202112,서울특별시,동대문구,정신,심한 장애,632
202112,서울특별시,동대문구,신장,심한 장애,527
202112,서울특별시,동대문구,심장,심한 장애,27
202112,서울특별시,동대문구,호흡기,심한 장애,81
202112,서울특별시,동대문구,간,심한 장애,11
202112,서울특별시,동대문구,안면,심한 장애,5
202112,서울특별시,동대문구,장루.요루,심한 장애,9
202112,서울특별시,동대문구,뇌전증,심한 장애,14
202112,서울특별시,동대문구,지체,심하지 않은 장애,5832
202112,서울특별시,동대문구,시각,심하지 않은 장애,1243
202112,서울특별시,동대문구,청각,심하지 않은 장애,1954
202112,서울특별시,동대문구,언어,심하지 않은 장애,66
202112,서울특별시,동대문구,뇌병변,심하지 않은 장애,677
202112,서울특별시,동대문구,정신,심하지 않은 장애,1
202112,서울특별시,동대문구,신장,심하지 않은 장애,165
202112,서울특별시,동대문구,심장,심하지 않은 장애,4
202112,서울특별시,동대문구,호흡기,심하지 않은 장애,1
202112,서울특별시,동대문구,간,심하지 않은 장애,92
202112,서울특별시,동대문구,안면,심하지 않은 장애,13
202112,서울특별시,동대문구,장루.요루,심하지 않은 장애,103
202112,서울특별시,동대문구,뇌전증,심하지 않은 장애,30
202112,서울특별시,중랑구,지체,심한 장애,1773
202112,서울특별시,중랑구,시각,심한 장애,401
202112,서울특별시,중랑구,청각,심한 장애,592
202112,서울특별시,중랑구,언어,심한 장애,92
202112,서울특별시,중랑구,지적,심한 장애,1323
202112,서울특별시,중랑구,뇌병변,심한 장애,1245
202112,서울특별시,중랑구,자폐성,심한 장애,254
202112,서울특별시,중랑구,정신,심한 장애,855
202112,서울특별시,중랑구,신장,심한 장애,766
202112,서울특별시,중랑구,심장,심한 장애,41
202112,서울특별시,중랑구,호흡기,심한 장애,143
202112,서울특별시,중랑구,간,심한 장애,9
202112,서울특별시,중랑구,안면,심한 장애,4
202112,서울특별시,중랑구,장루.요루,심한 장애,15
202112,서울특별시,중랑구,뇌전증,심한 장애,13
202112,서울특별시,중랑구,지체,심하지 않은 장애,7692
202112,서울특별시,중랑구,시각,심하지 않은 장애,1693
202112,서울특별시,중랑구,청각,심하지 않은 장애,1991
202112,서울특별시,중랑구,언어,심하지 않은 장애,81
202112,서울특별시,중랑구,뇌병변,심하지 않은 장애,849
202112,서울특별시,중랑구,정신,심하지 않은 장애,1
202112,서울특별시,중랑구,신장,심하지 않은 장애,206
202112,서울특별시,중랑구,심장,심하지 않은 장애,9
202112,서울특별시,중랑구,호흡기,심하지 않은 장애,1
202112,서울특별시,중랑구,간,심하지 않은 장애,89
202112,서울특별시,중랑구,안면,심하지 않은 장애,10
202112,서울특별시,중랑구,장루.요루,심하지 않은 장애,147
202112,서울특별시,중랑구,뇌전증,심하지 않은 장애,62
202112,서울특별시,성북구,지체,심한 장애,1315
202112,서울특별시,성북구,시각,심한 장애,391
202112,서울특별시,성북구,청각,심한 장애,494
202112,서울특별시,성북구,언어,심한 장애,86
202112,서울특별시,성북구,지적,심한 장애,1139
202112,서울특별시,성북구,뇌병변,심한 장애,999
